ID;Data_Reclamacao;Consumidor;CPF;Cidade;UF;Categoria;Empresa;Descricao_Problema;Status;Nota_Consumidor;Tempo_Resposta_Dias
555;12/4/2024;Carlos Souza;27887988043;Bayeux;PB;Seguros;99;Voo cancelado sem aviso;Finalizado não avaliado;1;52
556;2023-12-17;Maria Silva;65614347060;Blumenau;SC;Telecomunicações - Telefonia Móvel;BRADESCO;Dados incorretos na fatura;Não Resolvido;4;22
557;03.06.2024;João Santos;545-488-639-75;Rio Verde;GO;Água e Esgoto;RAPPI;Produto diferente do anunciado;Em análise;2;63
558;26.01.2024;Carlos Souza;911.933.383-99;Anápolis;GO;Bancos e Financeiras;sabesp;Dificuldade de cancelamento;Em andamento;;63
559;23-11-2024;Juliana Costa;637-745-510-25;Maceió;AL;Transporte por Aplicativo;MercadoLivre;Propaganda enganosa;Em andamento;5;N/A
560;1/11/2024;LUCAS NASCIMENTO;581-559-535-21;Sinop;MT;Eletrônicos e Celulares;tim;Conta contestada;Finalizado não avaliado;5;75
561;23.02.2023;Roberto Almeida;271 536 877 67;Manaus;AM;Telecomunicações - Telefonia Móvel;CPFL ENERGIA;Produto não entregue;Resolvido;1;63
562;21.09.2024;Gustavo Rocha;350 293 188 83;Itacoatiara;AM;Telecomunicações - TV por Assinatura;Vivo / Telefônica;Atendimento precário;Em análise;5;73
563;26.06.2024;Bruno Carvalho;754-607-614-12;Codó;MA;Transporte por Aplicativo;CPFL ENERGIA;Atraso na entrega;Finalizado não avaliado;2;35
564;21/4/2024;Felipe Ribeiro;510-413-544-13;Belford Roxo;RJ;Correios e Entregas;amazon brasil;Internet instável;Finalizado não avaliado;N/A;47
565;05/05/2024;Thiago Ferreira;361-391-727-59;Laranjal do Jari;AP;Água e Esgoto;Enel;Estorno não realizado;Finalizado avaliado;N/A;
566;10/1/2023;Daniela Araújo;23653636737;Petrolina;PE;Alimentação - Delivery;ENEL;Produto não entregue;Finalizado avaliado;4;56
567;2024-08-21;Gustavo Rocha;867.725.719-32;Itabuna;BA;Telecomunicações - Telefonia Móvel;correios;Voo cancelado sem aviso;Resolvido;2;12
568;23/10/2024;João Santos;73337862714;Penedo;AL;Telecomunicações - TV por Assinatura;SKY BRASIL;Cobrança após cancelamento;Não Resolvido;3;46
569;10.05.2024;Fernanda Pereira;964 131 918 61;Ceilândia;DF;Comércio Eletrônico;ITAÚ;Defeito no produto;Não Resolvido;4;71
570;2024-01-06;Roberto Almeida;700 260 612 15;Aracaju;SE;Viagens e Turismo;Bradesco;Internet instável;Finalizado não avaliado;1;13
571;08/11/2024;João Santos;380 284 766 39;Vilhena;RO;Transporte por Aplicativo;99;Voo cancelado sem aviso;Resolvido;4;78
572;20/3/2023;Patrícia Mendes;96343928264;Ribeirão Preto;SP;Bancos e Financeiras;AMERICANAS;Internet instável;Resolvido;5;63
573;12/11/2024;Gustavo Rocha;60666872714;Lauro de Freitas;BA;Bancos e Financeiras;azul;Conta contestada;Resolvido;1;41
574;10.01.2023;Daniela Araújo;441 873 611 43;Sorocaba;SP;Eletrônicos e Celulares;azul;Qualidade abaixo do esperado;Em andamento;2;69
575;13/2/2024;Felipe Ribeiro;954.902.828-64;Pacaraima;RR;Alimentação - Delivery;Rappi;Conta contestada;Finalizado avaliado;5;56
576;28-12-2023;Maria Silva;39923130520;Coari;AM;Telecomunicações - Telefonia Móvel;CORREIOS;Internet instável;Em andamento;;17
577;18.03.2023;Lucas Nascimento;948-681-690-96;Timon;MA;Telecomunicações - Internet;AMAZON BRASIL;Cobrança indevida;Não Resolvido;3;
578;22.04.2024;Daniela Araújo;98076655365;Salvador;BA;Cartões de Crédito/Débito;Magazine luiza;Estorno não realizado;Não Resolvido;2;52
579;21/08/2024;Lucas Nascimento;52063371899;Arapiraca;AL;Cartões de Crédito/Débito;Casas bahia;Dados incorretos na fatura;Finalizado não avaliado;2;14
580;09-07-2023;Larissa Barbosa;332-215-715-60;Porto Velho;RO;Comércio Eletrônico;AMERICANAS;Dados incorretos na fatura;Finalizado não avaliado;1;33
581;13-10-2024;Lucas Nascimento;331 330 534 80;Palmeira dos Índios;AL;Telecomunicações - Telefonia Móvel;CPFL ENERGIA;Produto não entregue;Em análise;4;83
582;08.06.2023;Juliana Costa;785 408 316 48;Manacapuru;AM;Telecomunicações - Internet;Magalu;Falta de resposta;Em análise;;10
583;09.05.2023;João Santos;919-471-633-48;Ribeirão Preto;SP;Correios e Entregas;Magazine luiza;Atraso na entrega;Finalizado não avaliado;4;66
584;10/07/2024;João Santos;379 255 255 92;São José dos Campos;SP;Eletrônicos e Celulares;caixa econômica;Estorno não realizado;Resolvido;1;80
585;2024-07-21;Vanessa Gomes;394.825.476-25;Ananindeua;PA;Viagens e Turismo;Itaú;Serviço não prestado;Em análise;2;53
586;25-05-2023;Bruno Carvalho;238 494 755 53;Tangará da Serra;MT;Eletrônicos e Celulares;Sabesp;Cobrança indevida;Em andamento;5;73
587;20.06.2023;Fernanda Pereira;161.534.508-69;São Cristóvão;SE;Viagens e Turismo;APPLE;Atendimento precário;Em andamento;2;77
588;3/5/2024;Camila Rodrigues;730 124 274 21;Oiapoque;AP;Telecomunicações - Telefonia Móvel;CPFL Energia;Atendimento precário;Não Resolvido;2;76
589;14.07.2024;Fernanda Pereira;41289077886;Itabuna;BA;Alimentação - Delivery;cvc viagens;Serviço não prestado;Em andamento;1;81
590;18.05.2023;FERNANDA PEREIRA;291.828.282-89;Pacaraima;RR;Bancos e Financeiras;rappi;Qualidade abaixo do esperado;Resolvido;2;N/A
591;25/7/2023;Vanessa Gomes;718-113-189-10;Mossoró;RN;Comércio Eletrônico;CVC Viagens;Voo cancelado sem aviso;Em análise;5;78
592;05.01.2024;ANA OLIVEIRA;823.358.124-79;Feira de Santana;BA;Comércio Eletrônico;99;Dados incorretos na fatura;Finalizado avaliado;2;55
593;17/12/2024;Amanda Dias;922-362-351-20;Oiapoque;AP;Bancos e Financeiras;uber;Cobrança após cancelamento;Resolvido;5;N/A
594;13-02-2024;Patrícia Mendes;808 609 978 50;Ceará-Mirim;RN;Telecomunicações - Internet;LIGHT;Propaganda enganosa;Em análise;5;23
595;13.01.2024;Amanda Dias;946 909 571 10;Plano Piloto;DF;Energia Elétrica;OI FIXO;Cobrança após cancelamento;Em análise;5;30
596;2024-04-19;Vanessa Gomes;301.397.863-57;Sobral;CE;Água e Esgoto;itau;Qualidade abaixo do esperado;Em andamento;5;18
597;15/6/2024;Vanessa Gomes;925 250 963 52;Oiapoque;AP;Energia Elétrica;enel;Dificuldade de cancelamento;Não Resolvido;4;N/A
598;2023-10-27;Gustavo Rocha;97225822333;Patos;PB;Telecomunicações - TV por Assinatura;GOL Linhas Aéreas;Dados incorretos na fatura;Não Resolvido;5;
599;2023-08-05;Roberto Almeida;638.949.207-57;Gurupi;TO;Cartões de Crédito/Débito;motorola;Propaganda enganosa;Finalizado não avaliado;5;N/A
600;25/11/2023;Lucas Nascimento;125-814-928-51;Novo Hamburgo;RS;Transporte por Aplicativo;AMERICANAS;Serviço não prestado;Em andamento;2;85
601;2023-08-01;Daniela Araújo;582 840 979 73;Sorocaba;SP;Comércio Eletrônico;UBER;Cobrança indevida;Em andamento;3;53
602;16.09.2023;Thiago Ferreira;344.794.138-37;Castanhal;PA;Bancos e Financeiras;Samsung;Propaganda enganosa;Finalizado não avaliado;2;42
603;02-09-2023;Thiago Ferreira;94051131248;Belém;PA;Alimentação - Delivery;B2W - Americanas;Propaganda enganosa;Em análise;2;19
604;09.03.2023;Bruno Carvalho;386.681.832-16;Salvador;BA;Seguros;UBER;Estorno não realizado;Resolvido;3;N/A
605;25/9/2023;Thiago Ferreira;851-758-674-88;Foz do Iguaçu;PR;Energia Elétrica;Sabesp;Atendimento precário;Resolvido;5;74
606;21/1/2023;Pedro Lima;210 470 969 17;Caxias;MA;Transporte por Aplicativo;Mercado Livre;Voo cancelado sem aviso;Não Resolvido;;30
607;2023-04-12;Pedro Lima;83464910124;Itapipoca;CE;Energia Elétrica;Sabesp;Dados incorretos na fatura;Em andamento;1;66
608;2024-09-16;Fernanda Pereira;68198941064;Porto Nacional;TO;Transporte por Aplicativo;Banco do Brasil;Estorno não realizado;Finalizado não avaliado;;
609;25/9/2023;Daniela Araújo;957 839 539 75;Londrina;PR;Bancos e Financeiras;gol linhas aéreas;Propaganda enganosa;Não Resolvido;5;11
610;02-06-2024;Maria Silva;604-178-362-76;Santo André;SP;Transporte Aéreo;SAMSUNG;Qualidade abaixo do esperado;Não Resolvido;3;20
611;23-11-2023;João Santos;684 627 340 44;Vila Velha;ES;Alimentação - Delivery;vivo telefonica;Serviço não prestado;Em andamento;3;39
612;2023-12-21;Roberto Almeida;381 974 553 42;Joinville;SC;Viagens e Turismo;americanas;Defeito no produto;Finalizado não avaliado;2;47
613;07-12-2024;João Santos;388.185.514-46;Caracaraí;RR;Telecomunicações - TV por Assinatura;latam airlines;Dificuldade de cancelamento;Não Resolvido;2;88
614;11-08-2024;Thiago Ferreira;710 285 146 51;Gravataí;RS;Correios e Entregas;GOL LINHAS AÉREAS;Dificuldade de cancelamento;Finalizado avaliado;3;78
615;18-07-2024;Maria Silva;871-902-345-70;Jaraguá do Sul;SC;Seguros;ENEL;Falta de resposta;Finalizado avaliado;2;34
616;2023-11-23;Maria Silva;611 178 536 73;Maceió;AL;Correios e Entregas;CVC Viagens;Internet instável;Não Resolvido;1;29
617;23.08.2024;Daniela Araújo;172-426-490-56;Ilhéus;BA;Energia Elétrica;Rappi;Atraso na entrega;Finalizado não avaliado;4;-3
618;06-10-2023;Juliana Costa;731-504-452-53;Anápolis;GO;Transporte por Aplicativo;amazon brasil;Internet instável;Em andamento;3;11
619;11-03-2024;Juliana Costa;43025138032;Porto Nacional;TO;Telecomunicações - Internet;Sky Brasil;Erro no aplicativo;Finalizado não avaliado;5;1
620;2024-12-09;Gustavo Rocha;228-248-623-39;Maracanaú;CE;Seguros;Vivo / Telefônica;Dados incorretos na fatura;Em análise;3;7
621;16/9/2024;Amanda Dias;982 371 359 77;Cariacica;ES;Telecomunicações - Telefonia Móvel;GOL Linhas Aéreas;Erro no aplicativo;Resolvido;2;15
622;13-08-2024;Larissa Barbosa;291.623.583-30;Anápolis;GO;Energia Elétrica;AMERICANAS;Propaganda enganosa;Finalizado não avaliado;3;49
623;17/10/2024;Pedro Lima;309 390 810 36;São José de Ribamar;MA;Correios e Entregas;samsung;Cobrança indevida;Em andamento;1;36
624;09/07/2023;FELIPE RIBEIRO;368 420 696 85;Tarauacá;AC;Bancos e Financeiras;Sabesp;Atraso na entrega;Não Resolvido;3;4
625;1/7/2023;Amanda Dias;610.841.857-91;Santos;SP;Água e Esgoto;Itau Unibanco S.A.;Serviço não prestado;Finalizado não avaliado;4;N/A
626;2023-01-26;João Santos;534-684-339-20;Fortaleza;CE;Seguros;samsung;Serviço não prestado;Em andamento;;N/A
627;2023-08-22;Bruno Carvalho;56312958998;Ceilândia;DF;Bancos e Financeiras;APPLE;Produto diferente do anunciado;Não Resolvido;5;N/A
628;13/1/2024;Bruno Carvalho;90519626951;Tarauacá;AC;Comércio Eletrônico;MOTOROLA;Erro no aplicativo;Finalizado avaliado;1;36
629;07-09-2023;Maria Silva;775 439 498 65;Criciúma;SC;Água e Esgoto;sky brasil;Voo cancelado sem aviso;Finalizado não avaliado;4;39
630;3/9/2024;Camila Rodrigues;17195371499;Lagarto;SE;Alimentação - Delivery;OI FIXO;Internet instável;Em andamento;5;N/A
